 #mass            theta           
   0.00000030000   0.01000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   9.984000E-002   1.536000E-003   1.417153E-009   1.511533E-007   1.511533E-007   3.712054E-005
   1.029600E-001   1.560000E-003   1.416531E-009   1.510870E-007   1.510870E-007   3.710426E-005
   1.061280E-001   1.584000E-003   1.415910E-009   1.510208E-007   1.510208E-007   3.708799E-005
   1.093440E-001   1.608000E-003   1.415289E-009   1.509545E-007   1.509545E-007   3.707172E-005
   1.126080E-001   1.632000E-003   1.414669E-009   1.508883E-007   1.508883E-007   3.705546E-005
   1.159200E-001   1.656000E-003   1.414048E-009   1.508222E-007   1.508222E-007   3.703921E-005
   1.192800E-001   1.680000E-003   1.413428E-009   1.507560E-007   1.507560E-007   3.702297E-005
   1.226880E-001   1.704000E-003   1.412808E-009   1.506899E-007   1.506899E-007   3.700673E-005
   1.261440E-001   1.728000E-003   1.412188E-009   1.506238E-007   1.506238E-007   3.699050E-005
   1.296480E-001   1.752000E-003   1.411569E-009   1.505577E-007   1.505577E-007   3.697428E-005
   1.332000E-001   1.776000E-003   1.410950E-009   1.504917E-007   1.504917E-007   3.695806E-005
   1.368000E-001   1.800000E-003   1.410331E-009   1.504257E-007   1.504257E-007   3.694185E-005
   1.404480E-001   1.824000E-003   1.409713E-009   1.503597E-007   1.503597E-007   3.692565E-005
   1.441440E-001   1.848000E-003   1.409094E-009   1.502938E-007   1.502938E-007   3.690946E-005
   1.478880E-001   1.872000E-003   1.408477E-009   1.502279E-007   1.502279E-007   3.689327E-005
   1.516800E-001   1.896000E-003   1.407859E-009   1.501620E-007   1.501620E-007   3.687709E-005
   1.555200E-001   1.920000E-003   1.407241E-009   1.500962E-007   1.500962E-007   3.686092E-005
   1.594080E-001   1.944000E-003   1.406624E-009   1.500303E-007   1.500303E-007   3.684475E-005
   1.633440E-001   1.968000E-003   1.406007E-009   1.499645E-007   1.499645E-007   3.682859E-005
   1.673280E-001   1.992000E-003   1.405391E-009   1.498988E-007   1.498988E-007   3.681244E-005
   1.713600E-001   2.016000E-003   1.404774E-009   1.498330E-007   1.498330E-007   3.679630E-005
   1.754400E-001   2.040000E-003   1.404158E-009   1.497673E-007   1.497673E-007   3.678016E-005
   1.795680E-001   2.064000E-003   1.403542E-009   1.497016E-007   1.497016E-007   3.676403E-005
   1.837440E-001   2.088000E-003   1.402927E-009   1.496360E-007   1.496360E-007   3.674790E-005
   1.879680E-001   2.112000E-003   1.402312E-009   1.495703E-007   1.495703E-007   3.673179E-005
   1.922400E-001   2.136000E-003   1.401697E-009   1.495047E-007   1.495047E-007   3.671568E-005
   1.965600E-001   2.160000E-003   1.401082E-009   1.494392E-007   1.494392E-007   3.669958E-005
   2.009280E-001   2.184000E-003   1.400467E-009   1.493736E-007   1.493736E-007   3.668348E-005
   2.053440E-001   2.208000E-003   1.399853E-009   1.493081E-007   1.493081E-007   3.666739E-005
   2.098080E-001   2.232000E-003   1.399239E-009   1.492426E-007   1.492426E-007   3.665131E-005
   2.143200E-001   2.256000E-003   1.398626E-009   1.491772E-007   1.491772E-007   3.663524E-005
   2.188800E-001   2.280000E-003   1.398012E-009   1.491118E-007   1.491118E-007   3.661917E-005
   2.234880E-001   2.304000E-003   1.397399E-009   1.490464E-007   1.490464E-007   3.660311E-005
   2.281440E-001   2.328000E-003   1.396786E-009   1.489810E-007   1.489810E-007   3.658706E-005
   2.328480E-001   2.352000E-003   1.396174E-009   1.489157E-007   1.489157E-007   3.657101E-005
   2.376000E-001   2.376000E-003   1.395561E-009   1.488504E-007   1.488504E-007   3.655497E-005
   2.424000E-001   2.400000E-003   1.394949E-009   1.487851E-007   1.487851E-007   3.653894E-005
   2.472480E-001   2.424000E-003   1.394338E-009   1.487198E-007   1.487198E-007   3.652292E-005
   2.521440E-001   2.448000E-003   1.393726E-009   1.486546E-007   1.486546E-007   3.650690E-005
   2.570880E-001   2.472000E-003   1.393115E-009   1.485894E-007   1.485894E-007   3.649089E-005
   2.620800E-001   2.496000E-003   1.392504E-009   1.485242E-007   1.485242E-007   3.647489E-005
   2.671200E-001   2.520000E-003   1.391893E-009   1.484591E-007   1.484591E-007   3.645889E-005
   2.722080E-001   2.544000E-003   1.391283E-009   1.483940E-007   1.483940E-007   3.644290E-005
   2.773440E-001   2.568000E-003   1.390672E-009   1.483289E-007   1.483289E-007   3.642692E-005
   2.825280E-001   2.592000E-003   1.390063E-009   1.482639E-007   1.482639E-007   3.641094E-005
   2.877600E-001   2.616000E-003   1.389453E-009   1.481988E-007   1.481988E-007   3.639497E-005
   2.930400E-001   2.640000E-003   1.388844E-009   1.481338E-007   1.481338E-007   3.637901E-005
   2.983680E-001   2.664000E-003   1.388234E-009   1.480689E-007   1.480689E-007   3.636306E-005
   3.037440E-001   2.688000E-003   1.387626E-009   1.480039E-007   1.480039E-007   3.634711E-005
   3.091680E-001   2.712000E-003   1.387017E-009   1.479390E-007   1.479390E-007   3.633117E-005
   3.146400E-001   2.736000E-003   1.386409E-009   1.478742E-007   1.478742E-007   3.631523E-005
   3.201600E-001   2.760000E-003   1.385801E-009   1.478093E-007   1.478093E-007   3.629931E-005
   3.257280E-001   2.784000E-003   1.385193E-009   1.477445E-007   1.477445E-007   3.628339E-005
   3.313440E-001   2.808000E-003   1.384585E-009   1.476797E-007   1.476797E-007   3.626748E-005
   3.370080E-001   2.832000E-003   1.383978E-009   1.476149E-007   1.476149E-007   3.625157E-005
   3.427200E-001   2.856000E-003   1.383371E-009   1.475502E-007   1.475502E-007   3.623567E-005
   3.484800E-001   2.880000E-003   1.382765E-009   1.474855E-007   1.474855E-007   3.621978E-005
   3.542880E-001   2.904000E-003   1.382158E-009   1.474208E-007   1.474208E-007   3.620389E-005
   3.601440E-001   2.928000E-003   1.381552E-009   1.473561E-007   1.473561E-007   3.618802E-005
   3.660480E-001   2.952000E-003   1.380946E-009   1.472915E-007   1.472915E-007   3.617215E-005
   3.720000E-001   2.976000E-003   1.380340E-009   1.472269E-007   1.472269E-007   3.615628E-005
   3.780000E-001   3.000000E-003   1.379735E-009   1.471623E-007   1.471623E-007   3.614042E-005
   3.840480E-001   3.024000E-003   1.379130E-009   1.470978E-007   1.470978E-007   3.612457E-005
   3.901440E-001   3.048000E-003   1.378525E-009   1.470333E-007   1.470333E-007   3.610873E-005
   3.962880E-001   3.072000E-003   1.377921E-009   1.469688E-007   1.469688E-007   3.609290E-005
   4.024800E-001   3.096000E-003   1.377316E-009   1.469043E-007   1.469043E-007   3.607707E-005
   4.087200E-001   3.120000E-003   1.376712E-009   1.468399E-007   1.468399E-007   3.606124E-005
   4.150080E-001   3.144000E-003   1.376108E-009   1.467755E-007   1.467755E-007   3.604543E-005
   4.213440E-001   3.168000E-003   1.375505E-009   1.467111E-007   1.467111E-007   3.602962E-005
   4.277280E-001   3.192000E-003   1.374902E-009   1.466468E-007   1.466468E-007   3.601382E-005
   4.341600E-001   3.216000E-003   1.374299E-009   1.465825E-007   1.465825E-007   3.599803E-005
   4.406400E-001   3.240000E-003   1.373696E-009   1.465182E-007   1.465182E-007   3.598224E-005
   4.471680E-001   3.264000E-003   1.373094E-009   1.464539E-007   1.464539E-007   3.596646E-005
   4.537440E-001   3.288000E-003   1.372491E-009   1.463897E-007   1.463897E-007   3.595068E-005
   4.603680E-001   3.312000E-003   1.371889E-009   1.463255E-007   1.463255E-007   3.593492E-005
   4.670400E-001   3.336000E-003   1.371288E-009   1.462613E-007   1.462613E-007   3.591916E-005
   4.737600E-001   3.360000E-003   1.370686E-009   1.461972E-007   1.461972E-007   3.590340E-005
   4.805280E-001   3.384000E-003   1.370085E-009   1.461331E-007   1.461331E-007   3.588766E-005
   4.873440E-001   3.408000E-003   1.369484E-009   1.460690E-007   1.460690E-007   3.587192E-005
