 #mass            theta           
   0.00000030000   0.00100000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   9.984000E-002   1.536000E-003   1.456281E-013   1.553413E-010   1.553413E-010   3.815589E-007
   1.029600E-001   1.560000E-003   1.456274E-013   1.553406E-010   1.553406E-010   3.815573E-007
   1.061280E-001   1.584000E-003   1.456268E-013   1.553400E-010   1.553400E-010   3.815556E-007
   1.093440E-001   1.608000E-003   1.456262E-013   1.553393E-010   1.553393E-010   3.815539E-007
   1.126080E-001   1.632000E-003   1.456255E-013   1.553386E-010   1.553386E-010   3.815522E-007
   1.159200E-001   1.656000E-003   1.456249E-013   1.553379E-010   1.553379E-010   3.815506E-007
   1.192800E-001   1.680000E-003   1.456242E-013   1.553372E-010   1.553372E-010   3.815489E-007
   1.226880E-001   1.704000E-003   1.456236E-013   1.553365E-010   1.553365E-010   3.815472E-007
   1.261440E-001   1.728000E-003   1.456230E-013   1.553359E-010   1.553359E-010   3.815455E-007
   1.296480E-001   1.752000E-003   1.456223E-013   1.553352E-010   1.553352E-010   3.815439E-007
   1.332000E-001   1.776000E-003   1.456217E-013   1.553345E-010   1.553345E-010   3.815422E-007
   1.368000E-001   1.800000E-003   1.456210E-013   1.553338E-010   1.553338E-010   3.815405E-007
   1.404480E-001   1.824000E-003   1.456204E-013   1.553331E-010   1.553331E-010   3.815389E-007
   1.441440E-001   1.848000E-003   1.456198E-013   1.553325E-010   1.553325E-010   3.815372E-007
   1.478880E-001   1.872000E-003   1.456191E-013   1.553318E-010   1.553318E-010   3.815355E-007
   1.516800E-001   1.896000E-003   1.456185E-013   1.553311E-010   1.553311E-010   3.815338E-007
   1.555200E-001   1.920000E-003   1.456179E-013   1.553304E-010   1.553304E-010   3.815322E-007
   1.594080E-001   1.944000E-003   1.456172E-013   1.553297E-010   1.553297E-010   3.815305E-007
   1.633440E-001   1.968000E-003   1.456166E-013   1.553291E-010   1.553291E-010   3.815288E-007
   1.673280E-001   1.992000E-003   1.456159E-013   1.553284E-010   1.553284E-010   3.815271E-007
   1.713600E-001   2.016000E-003   1.456153E-013   1.553277E-010   1.553277E-010   3.815255E-007
   1.754400E-001   2.040000E-003   1.456147E-013   1.553270E-010   1.553270E-010   3.815238E-007
   1.795680E-001   2.064000E-003   1.456140E-013   1.553263E-010   1.553263E-010   3.815221E-007
   1.837440E-001   2.088000E-003   1.456134E-013   1.553256E-010   1.553256E-010   3.815204E-007
   1.879680E-001   2.112000E-003   1.456127E-013   1.553250E-010   1.553250E-010   3.815188E-007
   1.922400E-001   2.136000E-003   1.456121E-013   1.553243E-010   1.553243E-010   3.815171E-007
   1.965600E-001   2.160000E-003   1.456115E-013   1.553236E-010   1.553236E-010   3.815154E-007
   2.009280E-001   2.184000E-003   1.456108E-013   1.553229E-010   1.553229E-010   3.815138E-007
   2.053440E-001   2.208000E-003   1.456102E-013   1.553222E-010   1.553222E-010   3.815121E-007
   2.098080E-001   2.232000E-003   1.456096E-013   1.553216E-010   1.553216E-010   3.815104E-007
   2.143200E-001   2.256000E-003   1.456089E-013   1.553209E-010   1.553209E-010   3.815087E-007
   2.188800E-001   2.280000E-003   1.456083E-013   1.553202E-010   1.553202E-010   3.815071E-007
   2.234880E-001   2.304000E-003   1.456076E-013   1.553195E-010   1.553195E-010   3.815054E-007
   2.281440E-001   2.328000E-003   1.456070E-013   1.553188E-010   1.553188E-010   3.815037E-007
   2.328480E-001   2.352000E-003   1.456064E-013   1.553182E-010   1.553182E-010   3.815020E-007
   2.376000E-001   2.376000E-003   1.456057E-013   1.553175E-010   1.553175E-010   3.815004E-007
   2.424000E-001   2.400000E-003   1.456051E-013   1.553168E-010   1.553168E-010   3.814987E-007
   2.472480E-001   2.424000E-003   1.456044E-013   1.553161E-010   1.553161E-010   3.814970E-007
   2.521440E-001   2.448000E-003   1.456038E-013   1.553154E-010   1.553154E-010   3.814953E-007
   2.570880E-001   2.472000E-003   1.456032E-013   1.553148E-010   1.553148E-010   3.814937E-007
   2.620800E-001   2.496000E-003   1.456025E-013   1.553141E-010   1.553141E-010   3.814920E-007
   2.671200E-001   2.520000E-003   1.456019E-013   1.553134E-010   1.553134E-010   3.814903E-007
   2.722080E-001   2.544000E-003   1.456013E-013   1.553127E-010   1.553127E-010   3.814887E-007
   2.773440E-001   2.568000E-003   1.456006E-013   1.553120E-010   1.553120E-010   3.814870E-007
   2.825280E-001   2.592000E-003   1.456000E-013   1.553113E-010   1.553113E-010   3.814853E-007
   2.877600E-001   2.616000E-003   1.455993E-013   1.553107E-010   1.553107E-010   3.814836E-007
   2.930400E-001   2.640000E-003   1.455987E-013   1.553100E-010   1.553100E-010   3.814820E-007
   2.983680E-001   2.664000E-003   1.455981E-013   1.553093E-010   1.553093E-010   3.814803E-007
   3.037440E-001   2.688000E-003   1.455974E-013   1.553086E-010   1.553086E-010   3.814786E-007
   3.091680E-001   2.712000E-003   1.455968E-013   1.553079E-010   1.553079E-010   3.814769E-007
   3.146400E-001   2.736000E-003   1.455961E-013   1.553073E-010   1.553073E-010   3.814753E-007
   3.201600E-001   2.760000E-003   1.455955E-013   1.553066E-010   1.553066E-010   3.814736E-007
   3.257280E-001   2.784000E-003   1.455949E-013   1.553059E-010   1.553059E-010   3.814719E-007
   3.313440E-001   2.808000E-003   1.455942E-013   1.553052E-010   1.553052E-010   3.814703E-007
   3.370080E-001   2.832000E-003   1.455936E-013   1.553045E-010   1.553045E-010   3.814686E-007
   3.427200E-001   2.856000E-003   1.455930E-013   1.553039E-010   1.553039E-010   3.814669E-007
   3.484800E-001   2.880000E-003   1.455923E-013   1.553032E-010   1.553032E-010   3.814652E-007
   3.542880E-001   2.904000E-003   1.455917E-013   1.553025E-010   1.553025E-010   3.814636E-007
   3.601440E-001   2.928000E-003   1.455910E-013   1.553018E-010   1.553018E-010   3.814619E-007
   3.660480E-001   2.952000E-003   1.455904E-013   1.553011E-010   1.553011E-010   3.814602E-007
   3.720000E-001   2.976000E-003   1.455898E-013   1.553004E-010   1.553004E-010   3.814585E-007
   3.780000E-001   3.000000E-003   1.455891E-013   1.552998E-010   1.552998E-010   3.814569E-007
   3.840480E-001   3.024000E-003   1.455885E-013   1.552991E-010   1.552991E-010   3.814552E-007
   3.901440E-001   3.048000E-003   1.455878E-013   1.552984E-010   1.552984E-010   3.814535E-007
   3.962880E-001   3.072000E-003   1.455872E-013   1.552977E-010   1.552977E-010   3.814519E-007
