 #mass            theta           
   0.00000030000   0.10000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   9.984000E-002   1.536000E-003   8.698826E-007   9.191058E-006   9.191058E-006   2.216459E-004
   1.029600E-001   1.560000E-003   8.316717E-007   8.787327E-006   8.787327E-006   2.119097E-004
   1.061280E-001   1.584000E-003   7.951393E-007   8.401331E-006   8.401331E-006   2.026013E-004
   1.093440E-001   1.608000E-003   7.602117E-007   8.032290E-006   8.032290E-006   1.937017E-004
   1.126080E-001   1.632000E-003   7.268183E-007   7.679460E-006   7.679460E-006   1.851931E-004
   1.159200E-001   1.656000E-003   6.948917E-007   7.342129E-006   7.342129E-006   1.770582E-004
   1.192800E-001   1.680000E-003   6.643676E-007   7.019615E-006   7.019615E-006   1.692807E-004
   1.226880E-001   1.704000E-003   6.351843E-007   6.711268E-006   6.711268E-006   1.618448E-004
   1.261440E-001   1.728000E-003   6.072829E-007   6.416466E-006   6.416466E-006   1.547355E-004
   1.296480E-001   1.752000E-003   5.806071E-007   6.134614E-006   6.134614E-006   1.479385E-004
   1.332000E-001   1.776000E-003   5.551031E-007   5.865142E-006   5.865142E-006   1.414401E-004
   1.368000E-001   1.800000E-003   5.307194E-007   5.607507E-006   5.607507E-006   1.352272E-004
   1.404480E-001   1.824000E-003   5.074068E-007   5.361189E-006   5.361189E-006   1.292871E-004
   1.441440E-001   1.848000E-003   4.851182E-007   5.125691E-006   5.125691E-006   1.236080E-004
   1.478880E-001   1.872000E-003   4.638087E-007   4.900537E-006   4.900537E-006   1.181783E-004
   1.516800E-001   1.896000E-003   4.434352E-007   4.685274E-006   4.685274E-006   1.129872E-004
   1.555200E-001   1.920000E-003   4.239567E-007   4.479467E-006   4.479467E-006   1.080240E-004
   1.594080E-001   1.944000E-003   4.053338E-007   4.282700E-006   4.282700E-006   1.032789E-004
   1.633440E-001   1.968000E-003   3.875289E-007   4.094576E-006   4.094576E-006   9.874226E-005
   1.673280E-001   1.992000E-003   3.705061E-007   3.914716E-006   3.914716E-006   9.440486E-005
   1.713600E-001   2.016000E-003   3.542311E-007   3.742756E-006   3.742756E-006   9.025799E-005
   1.754400E-001   2.040000E-003   3.386710E-007   3.578350E-006   3.578350E-006   8.629328E-005
   1.795680E-001   2.064000E-003   3.237944E-007   3.421166E-006   3.421166E-006   8.250272E-005
   1.837440E-001   2.088000E-003   3.095712E-007   3.270886E-006   3.270886E-006   7.887867E-005
   1.879680E-001   2.112000E-003   2.959729E-007   3.127208E-006   3.127208E-006   7.541381E-005
   1.922400E-001   2.136000E-003   2.829718E-007   2.989841E-006   2.989841E-006   7.210114E-005
   1.965600E-001   2.160000E-003   2.705419E-007   2.858508E-006   2.858508E-006   6.893400E-005
   2.009280E-001   2.184000E-003   2.586579E-007   2.732943E-006   2.732943E-006   6.590597E-005
   2.053440E-001   2.208000E-003   2.472960E-007   2.612895E-006   2.612895E-006   6.301096E-005
   2.098080E-001   2.232000E-003   2.364332E-007   2.498120E-006   2.498120E-006   6.024311E-005
   2.143200E-001   2.256000E-003   2.260475E-007   2.388386E-006   2.388386E-006   5.759684E-005
   2.188800E-001   2.280000E-003   2.161180E-007   2.283473E-006   2.283473E-006   5.506682E-005
   2.234880E-001   2.304000E-003   2.066247E-007   2.183168E-006   2.183168E-006   5.264793E-005
   2.281440E-001   2.328000E-003   1.975484E-007   2.087269E-006   2.087269E-006   5.033529E-005
   2.328480E-001   2.352000E-003   1.888708E-007   1.995583E-006   1.995583E-006   4.812424E-005
   2.376000E-001   2.376000E-003   1.805744E-007   1.907924E-006   1.907924E-006   4.601031E-005
   2.424000E-001   2.400000E-003   1.726424E-007   1.824116E-006   1.824116E-006   4.398924E-005
   2.472480E-001   2.424000E-003   1.650588E-007   1.743989E-006   1.743989E-006   4.205695E-005
   2.521440E-001   2.448000E-003   1.578084E-007   1.667381E-006   1.667381E-006   4.020954E-005
   2.570880E-001   2.472000E-003   1.508764E-007   1.594139E-006   1.594139E-006   3.844328E-005
   2.620800E-001   2.496000E-003   1.442490E-007   1.524114E-006   1.524114E-006   3.675460E-005
   2.671200E-001   2.520000E-003   1.379126E-007   1.457165E-006   1.457165E-006   3.514010E-005
   2.722080E-001   2.544000E-003   1.318546E-007   1.393157E-006   1.393157E-006   3.359652E-005
   2.773440E-001   2.568000E-003   1.260627E-007   1.331961E-006   1.331961E-006   3.212074E-005
   2.825280E-001   2.592000E-003   1.205252E-007   1.273453E-006   1.273453E-006   3.070979E-005
   2.877600E-001   2.616000E-003   1.152310E-007   1.217514E-006   1.217514E-006   2.936082E-005
   2.930400E-001   2.640000E-003   1.101693E-007   1.164033E-006   1.164033E-006   2.807110E-005
   2.983680E-001   2.664000E-003   1.053299E-007   1.112901E-006   1.112901E-006   2.683804E-005
   3.037440E-001   2.688000E-003   1.007032E-007   1.064016E-006   1.064016E-006   2.565914E-005
   3.091680E-001   2.712000E-003   9.627963E-008   1.017277E-006   1.017277E-006   2.453203E-005
   3.146400E-001   2.736000E-003   9.205041E-008   9.725917E-007   9.725917E-007   2.345442E-005
   3.201600E-001   2.760000E-003   8.800696E-008   9.298692E-007   9.298692E-007   2.242415E-005
   3.257280E-001   2.784000E-003   8.414113E-008   8.890234E-007   8.890234E-007   2.143914E-005
   3.313440E-001   2.808000E-003   8.044511E-008   8.499717E-007   8.499717E-007   2.049739E-005
   3.370080E-001   2.832000E-003   7.691144E-008   8.126355E-007   8.126355E-007   1.959701E-005
   3.427200E-001   2.856000E-003   7.353299E-008   7.769393E-007   7.769393E-007   1.873619E-005
