#            Wabs           rho_11           rho_22              abs
  4.46683690E-013  9.68666421E-001  1.94439203E-003  2.94184084E-002
  5.01187289E-013  9.65143583E-001  1.94088146E-003  3.29482338E-002
  5.62341325E-013  9.61206140E-001  1.93695395E-003  3.68934824E-002
  6.30957275E-013  9.56807371E-001  1.93256153E-003  4.13009658E-002
  7.07945629E-013  9.51895827E-001  1.92765112E-003  4.62222355E-002
  7.94328409E-013  9.46414957E-001  1.92216405E-003  5.17139504E-002
  8.91251036E-013  9.40302898E-001  1.91603569E-003  5.78380931E-002
  1.00000000E-012  9.33492024E-001  1.90919488E-003  6.46624223E-002
  1.12201833E-012  9.25908795E-001  1.90156357E-003  7.22606165E-002
  1.25892514E-012  9.17473566E-001  1.89305637E-003  8.07124736E-002
  1.41253785E-012  9.08100465E-001  1.88358014E-003  9.01040298E-002
  1.58489337E-012  8.97697641E-001  1.87303387E-003  1.00527309E-001
  1.77827941E-012  8.86167249E-001  1.86130823E-003  1.12080339E-001
  1.99526210E-012  8.73406110E-001  1.84828569E-003  1.24866489E-001
  2.23872065E-012  8.59306461E-001  1.83384063E-003  1.38993720E-001
  2.51188698E-012  8.43757039E-001  1.81783969E-003  1.54573497E-001
  2.81838324E-012  8.26645010E-001  1.80014280E-003  1.71718853E-001
  3.16227766E-012  8.07857696E-001  1.78060390E-003  1.90542660E-001
  3.54813350E-012  7.87285691E-001  1.75907284E-003  2.11154511E-001
  3.98107083E-012  7.64826353E-001  1.73539764E-003  2.33657211E-001
  4.46683690E-012  7.40388094E-001  1.70942725E-003  2.58142485E-001
  5.01187289E-012  7.13896168E-001  1.68101589E-003  2.84685177E-001
  5.62341325E-012  6.85298237E-001  1.65002704E-003  3.13337677E-001
  6.30957275E-012  6.54572017E-001  1.61633957E-003  3.44122249E-001
  7.07945629E-012  6.21733199E-001  1.57985442E-003  3.77023113E-001
  7.94328409E-012  5.86843921E-001  1.54050220E-003  4.11977944E-001
  8.91251036E-012  5.50022361E-001  1.49825268E-003  4.48868276E-001
  1.00000000E-011  5.11450370E-001  1.45312316E-003  4.87511851E-001
  1.12201895E-011  4.71381556E-001  1.40518889E-003  5.27654531E-001
  1.25892514E-011  4.30147709E-001  1.35459384E-003  5.68963872E-001
  1.41253785E-011  3.88159102E-001  1.30155712E-003  6.11028827E-001
  1.58489250E-011  3.45905373E-001  1.24638406E-003  6.53358882E-001
  1.77827941E-011  3.03944399E-001  1.18946682E-003  6.95395211E-001
  1.99526319E-011  2.62890077E-001  1.13128893E-003  7.36522929E-001
  2.23872065E-011  2.23388164E-001  1.07241977E-003  7.76095310E-001
  2.51188698E-011  1.86084367E-001  1.01350288E-003  8.13465750E-001
  2.81838169E-011  1.51589296E-001  9.55243481E-004  8.48022879E-001
  3.16227766E-011  1.20433674E-001  8.98381066E-004  8.79235399E-001
  3.54813545E-011  9.30284728E-002  8.43664520E-004  9.06691997E-001
  3.98107083E-011  6.96266172E-002  7.91817220E-004  9.30139651E-001
  4.46683690E-011  5.02965620E-002  7.43500468E-004  9.49510042E-001
  5.01187014E-011  3.49148110E-002  6.99282473E-004  9.64926990E-001
  5.62341325E-011  2.31763882E-002  6.59604086E-004  9.76695908E-001
  6.30957622E-011  1.46294199E-002  6.24757754E-004  9.85269144E-001
  7.07945629E-011  8.72583591E-003  5.94870512E-004  9.91195203E-001
  7.94328409E-011  4.88245298E-003  5.69897598E-004  9.95057620E-001
  8.91250547E-011  2.54149169E-003  5.49628955E-004  9.97414435E-001
  1.00000000E-010  1.21859822E-003  5.33702445E-004  9.98750206E-001
  1.12201895E-010  5.31747235E-004  5.21630929E-004  9.99447162E-001
  1.25892514E-010  2.07872962E-004  5.12837100E-004  9.99778621E-001
  1.41253785E-010  7.11696572E-005  5.06697181E-004  9.99920718E-001
  1.58489250E-010  2.05407537E-005  5.02589541E-004  9.99974950E-001
  1.77827941E-010  4.61034723E-006  4.99940350E-004  9.99993124E-001
  1.99526319E-010  6.36016784E-007  4.98260643E-004  9.99998388E-001
  2.23872065E-010  2.04750538E-008  4.97167172E-004  9.99999683E-001
  2.51188698E-010  8.03907615E-008  4.96385159E-004  9.99999949E-001
  2.81838169E-010  1.76089399E-007  4.95735230E-004  9.99999993E-001
  3.16227766E-010  2.23672594E-007  4.95110701E-004  9.99999999E-001
  3.54813545E-010  2.40823836E-007  4.94453030E-004  1.00000000E+000
  3.98107083E-010  2.45671949E-007  4.93731063E-004  1.00000000E+000
  4.46683690E-010  2.46564235E-007  4.92926720E-004  1.00000000E+000
  5.01187014E-010  2.46379990E-007  4.92026839E-004  1.00000000E+000
  5.62341325E-010  2.45919295E-007  4.91019174E-004  1.00000000E+000
  6.30957622E-010  2.45359052E-007  4.89890828E-004  1.00000000E+000
  7.07945629E-010  2.44725603E-007  4.88627624E-004  1.00000000E+000
  7.94328409E-010  2.44015788E-007  4.87213797E-004  1.00000000E+000
  8.91250547E-010  2.43221310E-007  4.85631902E-004  1.00000000E+000
  1.00000000E-009  2.42332384E-007  4.83862539E-004  1.00000000E+000
  1.12201895E-009  2.41338144E-007  4.81884278E-004  1.00000000E+000
  1.25892514E-009  2.40226564E-007  4.79673447E-004  1.00000000E+000
  1.41253785E-009  2.38984326E-007  4.77203875E-004  1.00000000E+000
  1.58489250E-009  2.37596797E-007  4.74446864E-004  1.00000000E+000
  1.77827941E-009  2.36047834E-007  4.71370827E-004  1.00000000E+000
  1.99526319E-009  2.34319783E-007  4.67941300E-004  1.00000000E+000
  2.23872065E-009  2.32393355E-007  4.64120742E-004  1.00000000E+000
  2.51188698E-009  2.30247503E-007  4.59868310E-004  1.00000000E+000
  2.81838169E-009  2.27859503E-007  4.55140079E-004  1.00000000E+000
  3.16227766E-009  2.25204786E-007  4.49888738E-004  1.00000000E+000
  3.54813545E-009  2.22257124E-007  4.44064028E-004  1.00000000E+000
  3.98107083E-009  2.18988677E-007  4.37612891E-004  1.00000000E+000
  4.46683690E-009  2.15370077E-007  4.30479692E-004  1.00000000E+000
  5.01187014E-009  2.11370948E-007  4.22607328E-004  1.00000000E+000
  5.62341325E-009  2.06960069E-007  4.13937601E-004  1.00000000E+000
  6.30957622E-009  2.02106243E-007  4.04412996E-004  1.00000000E+000
  7.07945629E-009  1.96779034E-007  3.93978161E-004  1.00000000E+000
  7.94328409E-009  1.90949680E-007  3.82581717E-004  1.00000000E+000
  8.91250547E-009  1.84592851E-007  3.70179665E-004  1.00000000E+000
  1.00000000E-008  1.77687936E-007  3.56737804E-004  1.00000000E+000
  1.12201895E-008  1.70221559E-007  3.42236444E-004  1.00000000E+000
  1.25892514E-008  1.62189903E-007  3.26674630E-004  1.00000000E+000
  1.41253785E-008  1.53601286E-007  3.10074686E-004  1.00000000E+000
  1.58489250E-008  1.44479793E-007  2.92488650E-004  1.00000000E+000
  1.77827941E-008  1.34867792E-007  2.74002351E-004  1.00000000E+000
  1.99526319E-008  1.24829500E-007  2.54741368E-004  1.00000000E+000
  2.23872065E-008  1.14453093E-007  2.34874101E-004  1.00000000E+000
  2.51188698E-008  1.03851597E-007  2.14612532E-004  1.00000000E+000
  2.81838169E-008  9.31629747E-008  1.94211697E-004  1.00000000E+000
  3.16227766E-008  8.25462375E-008  1.73962033E-004  1.00000000E+000
  3.54813545E-008  7.21760318E-008  1.54179591E-004  1.00000000E+000
  3.98107083E-008  6.22329522E-008  1.35189082E-004  1.00000000E+000
  4.46683690E-008  5.28910186E-008  1.17302556E-004  1.00000000E+000
  5.01187014E-008  4.43043476E-008  1.00797373E-004  1.00000000E+000
  5.62341325E-008  3.65926940E-008  8.58922439E-005  1.00000000E+000
  6.30957622E-008  2.98309886E-008  7.27302652E-005  1.00000000E+000
  7.07945629E-008  2.40431021E-008  6.13684075E-005  1.00000000E+000
  7.94328409E-008  1.92023974E-008  5.17776707E-005  1.00000000E+000
  8.91250547E-008  1.52394095E-008  4.38545109E-005  1.00000000E+000
  1.00000000E-007  1.20537634E-008  3.74385567E-005  1.00000000E+000
  1.12201895E-007  9.52891954E-009  3.23351091E-005  1.00000000E+000
  1.25892652E-007  7.54566578E-009  2.83357156E-005  1.00000000E+000
  1.41253630E-007  5.99282904E-009  2.52348307E-005  1.00000000E+000
  1.58489250E-007  4.77385260E-009  2.28404289E-005  1.00000000E+000
  1.77827941E-007  3.80989287E-009  2.09800645E-005  1.00000000E+000
  1.99526319E-007  3.03970333E-009  1.95029204E-005  1.00000000E+000
  2.23872310E-007  2.41778411E-009  1.82806400E-005  1.00000000E+000
  2.51188423E-007  1.91151137E-009  1.72078483E-005  1.00000000E+000
  2.81838169E-007  1.49791316E-009  1.62026649E-005  1.00000000E+000
  3.16227766E-007  1.16072791E-009  1.52070875E-005  1.00000000E+000
  3.54813545E-007  8.87886099E-010  1.41861305E-005  1.00000000E+000
  3.98107520E-007  6.69729370E-010  1.31255213E-005  1.00000000E+000
  4.46683200E-007  4.97913115E-010  1.20278587E-005  1.00000000E+000
  5.01187014E-007  3.64862236E-010  1.09076404E-005  1.00000000E+000
  5.62341325E-007  2.63639476E-010  9.78625643E-006  1.00000000E+000
  6.30957622E-007  1.87974855E-010  8.68728189E-006  1.00000000E+000
  7.07946406E-007  1.32365242E-010  7.63289978E-006  1.00000000E+000
  7.94327537E-007  9.21411359E-011  6.64155586E-006  1.00000000E+000
  8.91250547E-007  6.34693360E-011  5.72669552E-006  1.00000000E+000
  1.00000000E-006  4.33046556E-011  4.89663658E-006  1.00000000E+000
