#            Wabs           rho_11           rho_22              abs
  1.00000000E-015  9.97959759E-001  1.97346214E-003  6.68455349E-005
  1.12201846E-015  9.97951619E-001  1.97345409E-003  7.50016180E-005
  1.25892542E-015  9.97942486E-001  1.97344506E-003  8.41528146E-005
  1.41253756E-015  9.97932239E-001  1.97343493E-003  9.44205271E-005
  1.58489320E-015  9.97920741E-001  1.97342356E-003  1.05940963E-004
  1.77827941E-015  9.97907841E-001  1.97341080E-003  1.18866946E-004
  1.99526237E-015  9.97893367E-001  1.97339649E-003  1.33369944E-004
  2.23872111E-015  9.97877127E-001  1.97338043E-003  1.49642314E-004
  2.51188647E-015  9.97858906E-001  1.97336242E-003  1.67899910E-004
  2.81838285E-015  9.97838461E-001  1.97334220E-003  1.88384860E-004
  3.16227766E-015  9.97815523E-001  1.97331952E-003  2.11368866E-004
  3.54813399E-015  9.97789787E-001  1.97329407E-003  2.37156716E-004
  3.98107192E-015  9.97760910E-001  1.97326552E-003  2.66090369E-004
  4.46683568E-015  9.97728512E-001  1.97323349E-003  2.98553424E-004
  5.01187220E-015  9.97692161E-001  1.97319754E-003  3.34976359E-004
  5.62341325E-015  9.97651377E-001  1.97315721E-003  3.75841985E-004
  6.30957362E-015  9.97605618E-001  1.97311197E-003  4.21691984E-004
  7.07945823E-015  9.97554278E-001  1.97306120E-003  4.73134026E-004
  7.94328191E-015  9.97496677E-001  1.97300424E-003  5.30849725E-004
  8.91250914E-015  9.97432052E-001  1.97294034E-003  5.95603911E-004
  1.00000000E-014  9.97359546E-001  1.97286864E-003  6.68254310E-004
  1.12201833E-014  9.97278199E-001  1.97278819E-003  7.49763011E-004
  1.25892548E-014  9.97186934E-001  1.97269794E-003  8.41209584E-004
  1.41253747E-014  9.97084543E-001  1.97259668E-003  9.43804122E-004
  1.58489337E-014  9.96969672E-001  1.97248307E-003  1.05890482E-003
  1.77827941E-014  9.96840799E-001  1.97235562E-003  1.18803384E-003
  1.99526210E-014  9.96696222E-001  1.97221263E-003  1.33289910E-003
  2.23872126E-014  9.96534028E-001  1.97205220E-003  1.49541597E-003
  2.51188629E-014  9.96352075E-001  1.97187223E-003  1.67773098E-003
  2.81838324E-014  9.96147960E-001  1.97167033E-003  1.88225266E-003
  3.16227766E-014  9.95918989E-001  1.97144383E-003  2.11167933E-003
  3.54813350E-014  9.95662142E-001  1.97118973E-003  2.36903748E-003
  3.98107192E-014  9.95374033E-001  1.97090470E-003  2.65771976E-003
  4.46683568E-014  9.95050870E-001  1.97058495E-003  2.98152640E-003
  5.01187289E-014  9.94688399E-001  1.97022629E-003  3.34471914E-003
  5.62341325E-014  9.94281858E-001  1.96982397E-003  3.75206964E-003
  6.30957275E-014  9.93825909E-001  1.96937272E-003  4.20892617E-003
  7.07945823E-014  9.93314573E-001  1.96886659E-003  4.72127945E-003
  7.94328191E-014  9.92741160E-001  1.96829893E-003  5.29583412E-003
  8.91251036E-014  9.92098172E-001  1.96766231E-003  5.94010177E-003
  1.00000000E-013  9.91377224E-001  1.96694837E-003  6.66248350E-003
  1.12201833E-013  9.90568932E-001  1.96614779E-003  7.47238412E-003
  1.25892514E-013  9.89662797E-001  1.96525011E-003  8.38032137E-003
  1.41253785E-013  9.88647079E-001  1.96424362E-003  9.39806002E-003
  1.58489337E-013  9.87508670E-001  1.96311525E-003  1.05387329E-002
  1.77827941E-013  9.86232915E-001  1.96185037E-003  1.18170251E-002
  1.99526210E-013  9.84803456E-001  1.96043261E-003  1.32493266E-002
  2.23872065E-013  9.83202042E-001  1.95884369E-003  1.48539238E-002
  2.51188698E-013  9.81408316E-001  1.95706321E-003  1.66512143E-002
  2.81838324E-013  9.79399627E-001  1.95506839E-003  1.86638948E-002
  3.16227766E-013  9.77150733E-001  1.95283382E-003  2.09172556E-002
  3.54813350E-013  9.74633578E-001  1.95033119E-003  2.34394085E-002
  3.98107083E-013  9.71817001E-001  1.94752896E-003  2.62615765E-002
