#            Wabs           rho_11           rho_22              abs
  1.00000000E-015  9.99927983E-001  5.17234186E-006  6.68455349E-005
  1.12201846E-015  9.99919827E-001  5.17232077E-006  7.50016180E-005
  1.25892542E-015  9.99910676E-001  5.17229710E-006  8.41528146E-005
  1.41253756E-015  9.99900408E-001  5.17227055E-006  9.44205271E-005
  1.58489320E-015  9.99888888E-001  5.17224076E-006  1.05940963E-004
  1.77827941E-015  9.99875962E-001  5.17220733E-006  1.18866946E-004
  1.99526237E-015  9.99861459E-001  5.17216982E-006  1.33369944E-004
  2.23872111E-015  9.99845187E-001  5.17212774E-006  1.49642314E-004
  2.51188647E-015  9.99826930E-001  5.17208052E-006  1.67899910E-004
  2.81838285E-015  9.99806445E-001  5.17202755E-006  1.88384860E-004
  3.16227766E-015  9.99783461E-001  5.17196811E-006  2.11368866E-004
  3.54813399E-015  9.99757674E-001  5.17190143E-006  2.37156716E-004
  3.98107192E-015  9.99728740E-001  5.17182660E-006  2.66090369E-004
  4.46683568E-015  9.99696278E-001  5.17174266E-006  2.98553424E-004
  5.01187220E-015  9.99659855E-001  5.17164847E-006  3.34976359E-004
  5.62341325E-015  9.99618990E-001  5.17154280E-006  3.75841985E-004
  6.30957362E-015  9.99573141E-001  5.17142424E-006  4.21691984E-004
  7.07945823E-015  9.99521699E-001  5.17129123E-006  4.73134026E-004
  7.94328191E-015  9.99463984E-001  5.17114200E-006  5.30849725E-004
  8.91250914E-015  9.99399231E-001  5.17097457E-006  5.95603911E-004
  1.00000000E-014  9.99326582E-001  5.17078673E-006  6.68254310E-004
  1.12201833E-014  9.99245074E-001  5.17057600E-006  7.49763011E-004
  1.25892548E-014  9.99153628E-001  5.17033958E-006  8.41209584E-004
  1.41253747E-014  9.99051035E-001  5.17007436E-006  9.43804122E-004
  1.58489337E-014  9.98935936E-001  5.16977682E-006  1.05890482E-003
  1.77827941E-014  9.98806809E-001  5.16944303E-006  1.18803384E-003
  1.99526210E-014  9.98661945E-001  5.16906860E-006  1.33289910E-003
  2.23872126E-014  9.98499430E-001  5.16864857E-006  1.49541597E-003
  2.51188629E-014  9.98317118E-001  5.16817740E-006  1.67773098E-003
  2.81838324E-014  9.98112599E-001  5.16764890E-006  1.88225266E-003
  3.16227766E-014  9.97883175E-001  5.16705610E-006  2.11167933E-003
  3.54813350E-014  9.97625820E-001  5.16639121E-006  2.36903748E-003
  3.98107192E-014  9.97337141E-001  5.16564548E-006  2.65771976E-003
  4.46683568E-014  9.97013339E-001  5.16480914E-006  2.98152640E-003
  5.01187289E-014  9.96650150E-001  5.16387123E-006  3.34471914E-003
  5.62341325E-014  9.96242805E-001  5.16281948E-006  3.75206964E-003
  6.30957275E-014  9.95785954E-001  5.16164014E-006  4.20892617E-003
  7.07945823E-014  9.95273607E-001  5.16031785E-006  4.72127945E-003
  7.94328191E-014  9.94699060E-001  5.15883540E-006  5.29583412E-003
  8.91251036E-014  9.94054800E-001  5.15717357E-006  5.94010177E-003
  1.00000000E-013  9.93332428E-001  5.15531085E-006  6.66248350E-003
  1.12201833E-013  9.92522537E-001  5.15322322E-006  7.47238412E-003
  1.25892514E-013  9.91614611E-001  5.15088384E-006  8.38032137E-003
  1.41253785E-013  9.90596885E-001  5.14826275E-006  9.39806002E-003
  1.58489337E-013  9.89456227E-001  5.14532658E-006  1.05387329E-002
  1.77827941E-013  9.88177951E-001  5.14203806E-006  1.18170251E-002
  1.99526210E-013  9.86745667E-001  5.13835574E-006  1.32493266E-002
  2.23872065E-013  9.85141090E-001  5.13423348E-006  1.48539238E-002
  2.51188698E-013  9.83343822E-001  5.12961997E-006  1.66512143E-002
  2.81838324E-013  9.81331166E-001  5.12445835E-006  1.86638948E-002
  3.16227766E-013  9.79077834E-001  5.11868549E-006  2.09172556E-002
  3.54813350E-013  9.76555712E-001  5.11223155E-006  2.34394085E-002
  3.98107083E-013  9.73733579E-001  5.10501938E-006  2.62615765E-002
