#            Wabs           rho_11           rho_22              abs
  4.46683690E-013  9.70576787E-001  5.09696388E-006  2.94184084E-002
  5.01187289E-013  9.67047005E-001  5.08797156E-006  3.29482338E-002
  5.62341325E-013  9.63101805E-001  5.07793974E-006  3.68934824E-002
  6.30957275E-013  9.58694376E-001  5.06675621E-006  4.13009658E-002
  7.07945629E-013  9.53773167E-001  5.05429866E-006  4.62222355E-002
  7.94328409E-013  9.48281520E-001  5.04043435E-006  5.17139504E-002
  8.91251036E-013  9.42157452E-001  5.02502015E-006  5.78380931E-002
  1.00000000E-012  9.35333206E-001  5.00790224E-006  6.46624223E-002
  1.12201833E-012  9.27735104E-001  4.98891669E-006  7.22606165E-002
  1.25892514E-012  9.19283349E-001  4.96789020E-006  8.07124736E-002
  1.41253785E-012  9.09891906E-001  4.94464130E-006  9.01040298E-002
  1.58489337E-012  8.99468751E-001  4.91898276E-006  1.00527309E-001
  1.77827941E-012  8.87915859E-001  4.89072378E-006  1.12080339E-001
  1.99526210E-012  8.75129860E-001  4.85967429E-006  1.24866489E-001
  2.23872065E-012  8.61002793E-001  4.82565006E-006  1.38993720E-001
  2.51188698E-012  8.45423198E-001  4.78847914E-006  1.54573497E-001
  2.81838324E-012  8.28278038E-001  4.74801119E-006  1.71718853E-001
  3.16227766E-012  8.09454444E-001  4.70412695E-006  1.90542660E-001
  3.54813350E-012  7.88842823E-001  4.65675198E-006  2.11154511E-001
  3.98107083E-012  7.66340372E-001  4.60587200E-006  2.33657211E-001
  4.46683690E-012  7.41855362E-001  4.55155101E-006  2.58142485E-001
  5.01187289E-012  7.15312951E-001  4.49395334E-006  2.84685177E-001
  5.62341325E-012  6.86660748E-001  4.43336579E-006  3.13337677E-001
  6.30957275E-012  6.55876485E-001  4.37022418E-006  3.44122249E-001
  7.07945629E-012  6.22975942E-001  4.30513978E-006  3.77023113E-001
  7.94328409E-012  5.88021439E-001  4.23892517E-006  4.11977944E-001
  8.91251036E-012  5.51131439E-001  4.17261885E-006  4.48868276E-001
  1.00000000E-011  5.12488194E-001  4.10750101E-006  4.87511851E-001
  1.12201895E-011  4.72345836E-001  4.04510230E-006  5.27654531E-001
  1.25892514E-011  4.31036802E-001  3.98719833E-006  5.68963872E-001
  1.41253785E-011  3.88972132E-001  3.93577975E-006  6.11028827E-001
  1.58489250E-011  3.46642331E-001  3.89300391E-006  6.53358882E-001
  1.77827941E-011  3.04606220E-001  3.86110775E-006  6.95395211E-001
  1.99526319E-011  2.63478673E-001  3.84229329E-006  7.36522929E-001
  2.23872065E-011  2.23906413E-001  3.83857360E-006  7.76095310E-001
  2.51188698E-011  1.86536038E-001  3.85159103E-006  8.13465750E-001
  2.81838169E-011  1.51978918E-001  3.88241585E-006  8.48022879E-001
  3.16227766E-011  1.20766351E-001  3.93134634E-006  8.79235399E-001
  3.54813545E-011  9.33096546E-002  3.99773319E-006  9.06691997E-001
  3.98107083E-011  6.98618596E-002  4.07986581E-006  9.30139651E-001
  4.46683690E-011  5.04912946E-002  4.17495620E-006  9.49510042E-001
  5.01187014E-011  3.50741545E-002  4.27923753E-006  9.64926990E-001
  5.62341325E-011  2.33050370E-002  4.38821387E-006  9.76695908E-001
  6.30957622E-011  1.47316079E-002  4.49702513E-006  9.85269144E-001
  7.07945629E-011  8.80537257E-003  4.60091279E-006  9.91195203E-001
  7.94328409E-011  4.94280348E-003  4.69571049E-006  9.95057620E-001
  8.91250547E-011  2.58586358E-003  4.77826607E-006  9.97414435E-001
  1.00000000E-010  1.24999466E-003  4.84673586E-006  9.98750206E-001
  1.12201895E-010  5.52967130E-004  4.90066638E-006  9.99447162E-001
  1.25892514E-010  2.21458685E-004  4.94087012E-006  9.99778621E-001
  1.41253785E-010  7.93282481E-005  4.96911943E-006  9.99920718E-001
  1.58489250E-010  2.50750820E-005  4.98773483E-006  9.99974950E-001
  1.77827941E-010  6.88964493E-006  4.99916961E-006  9.99993124E-001
  1.99526319E-010  1.61854453E-006  5.00566691E-006  9.99998388E-001
  2.23872065E-010  3.19480618E-007  5.00904683E-006  9.99999683E-001
  2.51188698E-010  5.21338472E-008  5.01063065E-006  9.99999949E-001
  2.81838169E-010  6.99530187E-009  5.01127675E-006  9.99999993E-001
  3.16227766E-010  8.10643575E-010  5.01148197E-006  9.99999999E-001
  3.54813545E-010  1.09793317E-010  5.01150026E-006  1.00000000E+000
  3.98107083E-010  3.60474390E-011  5.01144471E-006  1.00000000E+000
  4.46683690E-010  2.68364941E-011  5.01135818E-006  1.00000000E+000
  5.01187014E-010  2.53809178E-011  5.01125359E-006  1.00000000E+000
  5.62341325E-010  2.51503367E-011  5.01113299E-006  1.00000000E+000
  6.30957622E-010  2.51190542E-011  5.01099497E-006  1.00000000E+000
  7.07945629E-010  2.51149567E-011  5.01083696E-006  1.00000000E+000
  7.94328409E-010  2.51136199E-011  5.01065574E-006  1.00000000E+000
  8.91250547E-010  2.51123335E-011  5.01044746E-006  1.00000000E+000
  1.00000000E-009  2.51108429E-011  5.01020754E-006  1.00000000E+000
  1.12201895E-009  2.51090924E-011  5.00993052E-006  1.00000000E+000
  1.25892514E-009  2.51070294E-011  5.00960984E-006  1.00000000E+000
  1.41253785E-009  2.51045903E-011  5.00923762E-006  1.00000000E+000
  1.58489250E-009  2.51016969E-011  5.00880438E-006  1.00000000E+000
  1.77827941E-009  2.50982534E-011  5.00829862E-006  1.00000000E+000
  1.99526319E-009  2.50941417E-011  5.00770645E-006  1.00000000E+000
  2.23872065E-009  2.50892165E-011  5.00701093E-006  1.00000000E+000
  2.51188698E-009  2.50832979E-011  5.00619143E-006  1.00000000E+000
  2.81838169E-009  2.50761638E-011  5.00522277E-006  1.00000000E+000
  3.16227766E-009  2.50675387E-011  5.00407405E-006  1.00000000E+000
  3.54813545E-009  2.50570816E-011  5.00270742E-006  1.00000000E+000
  3.98107083E-009  2.50443688E-011  5.00107633E-006  1.00000000E+000
  4.46683690E-009  2.50288741E-011  4.99912342E-006  1.00000000E+000
  5.01187014E-009  2.50099441E-011  4.99677804E-006  1.00000000E+000
  5.62341325E-009  2.49867659E-011  4.99395288E-006  1.00000000E+000
  6.30957622E-009  2.49583299E-011  4.99054015E-006  1.00000000E+000
  7.07945629E-009  2.49233817E-011  4.98640658E-006  1.00000000E+000
  7.94328409E-009  2.48803629E-011  4.98138724E-006  1.00000000E+000
  8.91250547E-009  2.48273421E-011  4.97527836E-006  1.00000000E+000
  1.00000000E-008  2.47619259E-011  4.96782786E-006  1.00000000E+000
  1.12201895E-008  2.46811590E-011  4.95872462E-006  1.00000000E+000
  1.25892514E-008  2.45814021E-011  4.94758513E-006  1.00000000E+000
  1.41253785E-008  2.44581877E-011  4.93393722E-006  1.00000000E+000
  1.58489250E-008  2.43060690E-011  4.91720233E-006  1.00000000E+000
  1.77827941E-008  2.41184391E-011  4.89667319E-006  1.00000000E+000
  1.99526319E-008  2.38873667E-011  4.87149110E-006  1.00000000E+000
  2.23872065E-008  2.36034357E-011  4.84062046E-006  1.00000000E+000
  2.51188698E-008  2.32556250E-011  4.80282249E-006  1.00000000E+000
  2.81838169E-008  2.28313136E-011  4.75663541E-006  1.00000000E+000
  3.16227766E-008  2.23164030E-011  4.70035734E-006  1.00000000E+000
  3.54813545E-008  2.16957491E-011  4.63204964E-006  1.00000000E+000
  3.98107083E-008  2.09539289E-011  4.54956113E-006  1.00000000E+000
  4.46683690E-008  2.00764739E-011  4.45058666E-006  1.00000000E+000
  5.01187014E-008  1.90517544E-011  4.33278461E-006  1.00000000E+000
  5.62341325E-008  1.78733173E-011  4.19394322E-006  1.00000000E+000
  6.30957622E-008  1.65427650E-011  4.03223083E-006  1.00000000E+000
  7.07945629E-008  1.50725456E-011  3.84649826E-006  1.00000000E+000
  7.94328409E-008  1.34880295E-011  3.63661187E-006  1.00000000E+000
  8.91250547E-008  1.18281643E-011  3.40378736E-006  1.00000000E+000
  1.00000000E-007  1.01435205E-011  3.15079994E-006  1.00000000E+000
  1.12201895E-007  8.49181487E-012  2.88204766E-006  1.00000000E+000
  1.25892652E-007  6.93099640E-012  2.60334983E-006  1.00000000E+000
  1.41253630E-007  5.51158648E-012  2.32150925E-006  1.00000000E+000
  1.58489250E-007  4.26999370E-012  2.04365188E-006  1.00000000E+000
  1.77827941E-007  3.22496793E-012  1.77654848E-006  1.00000000E+000
  1.99526319E-007  2.37743289E-012  1.52595594E-006  1.00000000E+000
  2.23872310E-007  1.71365530E-012  1.29618103E-006  1.00000000E+000
  2.51188423E-007  1.21023039E-012  1.08989718E-006  1.00000000E+000
  2.81838169E-007  8.39285760E-013  9.08185256E-007  1.00000000E+000
  3.16227766E-007  5.72853984E-013  7.50792292E-007  1.00000000E+000
  3.54813545E-007  3.85684556E-013  6.16444423E-007  1.00000000E+000
  3.98107520E-007  2.56667889E-013  5.03197303E-007  1.00000000E+000
  4.46683200E-007  1.69151421E-013  4.08747136E-007  1.00000000E+000
  5.01187014E-007  1.10573710E-013  3.30668866E-007  1.00000000E+000
  5.62341325E-007  7.17993673E-014  2.66601168E-007  1.00000000E+000
  6.30957622E-007  4.63667098E-014  2.14349284E-007  1.00000000E+000
  7.07946406E-007  2.98091007E-014  1.71946349E-007  1.00000000E+000
  7.94327537E-007  1.90949033E-014  1.37676432E-007  1.00000000E+000
  8.91250547E-007  1.21956661E-014  1.10070104E-007  1.00000000E+000
  1.00000000E-006  7.77074867E-015  8.78917448E-008  1.00000000E+000
